keys,en,ar
Q5_WM_1,That wasn't very nice.,لم يكن هذا لطيفاً.
Q5_WM_2,That would hurt someone who's already tired.,سيؤذي ذلك شخصاً متعباً أصلاً.
Q5_WM_3,"Not everything is about profit, you know.",ليس كل شيء عن الربح، أتعلم.
Q5_WM_4,That choice would break trust in the market.,هذا الخيار سيكسر الثقة في السوق.
Q5_WM_5,You could have been kinder.,كان بإمكانك أن تكون أكثر لطفاً.
Q5_WM_6,That's not fair… try again next time.,هذا ليس عدلاً… حاول مجدداً في المرة القادمة.
Q5_WM_7,That's a cold way to treat people.,هذه طريقة باردة لمعاملة الناس.
Q5_WM_8,That choice would leave someone feeling small.,هذا الخيار سيجعل أحدهم يشعر بالصغار.
Q5_WF_1,That choice leaves someone hungry.,هذا الخيار يترك أحدهم جائعاً.
Q5_WF_2,That's not how we look after each other.,لسنا هكذا نهتم ببعضنا.
Q5_WF_3,You'd lose respect on the docks for that.,ستفقد الاحترام في الرصيف بسبب هذا.
Q5_WF_4,That was selfish — the sea doesn't like that.,كان ذلك أنانية — البحر لا يحب ذلك.
Q5_WF_5,That wouldn't help the community.,هذا لن يساعد المجتمع.
Q5_WF_6,That's a harsh decision for a hard day.,هذا قرار قاسٍ ليوم صعب.
Q5_WF_7,Not a good call… think of others.,ليس قراراً جيداً… فكر في الآخرين.
Q5_WF_8,That's not the kind of help they needed.,هذا ليس نوع المساعدة التي يحتاجونها.
Q5_WS_1,That would make someone feel left out.,سيجعل ذلك أحدهم يشعر بالإقصاء.
Q5_WS_2,Those words could sting.,تلك الكلمات قد تؤلم.
Q5_WS_3,That's not a gentle way to lead.,هذه ليست طريقة لطيفة للقيادة.
Q5_WS_4,That choice could start more fighting.,هذا الخيار قد يشعل المزيد من الخلاف.
Q5_WS_5,You could have handled that with more care.,كان بإمكانك التعامل مع ذلك بمزيد من الحذر.
Q5_WS_6,"Stories should bring people together, not apart.",القصص يجب أن تجمع الناس لا أن تفرقهم.
Q5_WS_7,That wasn't considerate.,لم يكن ذلك مراعياً للآخرين.
Q5_WS_8,That choice would quiet someone who needs courage.,هذا الخيار سيُسكت من يحتاج إلى الشجاعة.
Q5_Q1_PROMPT,A tired woman can only pay part of the price for dates. What should you do?,امرأة متعبة لا تستطيع دفع سوى جزء من ثمن التمر. ماذا ستفعل؟
Q5_Q1_A,Give her the dates anyway and wish her well.,أعطِها التمر على أي حال وتمنَّ لها الخير.
Q5_Q1_B,Tell her to leave if she can't pay.,أخبرها بالمغادرة إن لم تستطع الدفع.
Q5_Q2_PROMPT,You receive extra coins by mistake. What is the kindest choice?,تلقيت عملات إضافية بالخطأ. ما هو الخيار الأكثر لطفاً؟
Q5_Q2_A,Keep the extra coins.,احتفظ بالعملات الإضافية.
Q5_Q2_B,Tell them and return the extra coins.,أخبرهم وأعد العملات الإضافية.
Q5_Q3_PROMPT,A small boy is shy to ask about prices. What do you do?,صبي صغير يخجل من السؤال عن الأسعار. ماذا ستفعل؟
Q5_Q3_A,Speak gently and explain clearly.,تكلم بلطف واشرح بوضوح.
Q5_Q3_B,Ignore him and talk only to adults.,تجاهله وتكلم مع البالغين فقط.
Q5_Q4_PROMPT,The catch is small. A family hasn't eaten. What should you do?,الصيد قليل. عائلة لم تأكل. ماذا ينبغي أن تفعل؟
Q5_Q4_A,Share some fish with them.,شارك بعض السمك معهم.
Q5_Q4_B,Sell only to high-paying customers.,بِع فقط للزبائن الأعلى دفعاً.
Q5_Q5_PROMPT,A young fisherman keeps making mistakes. How do you help?,صياد شاب يرتكب الأخطاء باستمرار. كيف تساعده؟
Q5_Q5_A,Teach him patiently.,علِّمه بصبر.
Q5_Q5_B,Tell him to give up.,أخبره بالاستسلام.
Q5_Q6_PROMPT,You find a dropped basket of pearls. What do you do?,تجد سلة لؤلؤ مفقودة. ماذا ستفعل؟
Q5_Q6_A,Keep it.,احتفظ بها.
Q5_Q6_B,Ask around to find the owner.,اسأل من حولك لإيجاد صاحبها.
Q5_Q7_PROMPT,Two children argue over who heard the story first. What should you do?,يتشاجر طفلان حول من سمع القصة أولاً. ماذا ينبغي أن تفعل؟
Q5_Q7_A,Let both sit and tell it kindly.,دع كليهما يجلسان واحكِها بلطف.
Q5_Q7_B,Choose one child and ignore the other.,اختر طفلاً واحداً وتجاهل الآخر.
Q5_Q8_PROMPT,Your story might hurt someone's feelings. What should you do?,قصتك قد تؤذي مشاعر أحدهم. ماذا ينبغي أن تفعل؟
Q5_Q8_A,Tell it more gently.,احكِها بلطف أكثر.
Q5_Q8_B,Say it anyway.,قلها على أي حال.
Q5_Q9_PROMPT,A shy listener wants to speak. What do you do?,مستمع خجول يريد التحدث. ماذا ستفعل؟
Q5_Q9_A,Give them time and thank them.,أعطِه الوقت واشكره.
Q5_Q9_B,Tell them to speak louder or leave.,أخبره بالتحدث بصوت أعلى أو المغادرة.
QUESTION_PROGRESS,Question %d of %d,السؤال %s من %s
SCORE_LABEL,Score: %d/%d,النتيجة: %s/%s
WELL_DONE,Well done.,أحسنت.
NOT_BEST_CHOICE,That wasn't the best choice.,لم يكن ذلك أفضل خيار.
Q6_WATER_Q,Why is water still a precious resource in Bahrain today?,لماذا لا يزال الماء مورداً ثميناً في البحرين اليوم؟
Q6_WATER_A,Because Bahrain has many natural rivers,لأن البحرين تمتلك أنهاراً طبيعية كثيرة
Q6_WATER_B,Because Bahrain depends on desalination and must conserve water,لأن البحرين تعتمد على تحلية المياه ويجب الحفاظ عليها
Q6_WATER_C,Because water is only used for farming,لأن الماء يُستخدم للزراعة فقط
Q6_WATER_D,Because rainfall is constant all year,لأن الأمطار منتظمة طوال العام
Q6_WATER_EXPLAIN,"Bahrain relies heavily on desalination, so conserving water is important.",تعتمد البحرين اعتماداً كبيراً على تحلية المياه، لذا فإن الحفاظ على الماء أمر مهم.
Q6_EARTH_Q,How do historical sites and artifacts help Bahrain today?,كيف تساعد المواقع التاريخية والقطع الأثرية البحرين اليوم؟
Q6_EARTH_A,They are only useful for tourists,إنها مفيدة للسياح فقط
Q6_EARTH_B,They preserve national identity and educate future generations,تحافظ على الهوية الوطنية وتُعلِّم الأجيال القادمة
Q6_EARTH_C,They replace modern buildings,إنها تحل محل المباني الحديثة
Q6_EARTH_D,They are no longer relevant,لم تعد ذات صلة
Q6_EARTH_EXPLAIN,Heritage sites and museums preserve identity and support learning.,تحافظ مواقع التراث والمتاحف على الهوية وتدعم التعلم.
Q6_PEARLS_Q,Why are pearls important in Bahrain's history?,لماذا يُعدّ اللؤلؤ مهماً في تاريخ البحرين؟
Q6_PEARLS_A,They were used mainly for decoration,كانت تُستخدم أساساً للزينة
Q6_PEARLS_B,They were discovered after oil,تم اكتشافها بعد النفط
Q6_PEARLS_C,Pearl diving was Bahrain's main economy before oil,كان الغوص على اللؤلؤ الاقتصاد الرئيسي للبحرين قبل النفط
Q6_PEARLS_D,Pearls were imported from other countries,كان اللؤلؤ يُستورد من دول أخرى
Q6_PEARLS_EXPLAIN,Pearling shaped Bahrain's economy and culture long before oil.,شكّلت صناعة اللؤلؤ اقتصاد البحرين وثقافتها قبل اكتشاف النفط بزمن طويل.
Q6_HARVEST_Q,How do Bahrainis honor tradition while embracing modern life?,كيف يحترم البحرينيون التراث مع تبني الحياة الحديثة؟
Q6_HARVEST_A,By rejecting technology,برفض التكنولوجيا
Q6_HARVEST_B,By preserving traditions while using modern tools and education,بالحفاظ على التقاليد مع استخدام الأدوات الحديثة والتعليم
Q6_HARVEST_C,By forgetting old customs,بنسيان العادات القديمة
Q6_HARVEST_D,By only focusing on the past,بالتركيز على الماضي فقط
Q6_HARVEST_EXPLAIN,Modern progress can happen while respecting and celebrating traditions.,يمكن أن يتحقق التقدم الحديث مع احترام التقاليد والاحتفال بها.
Q6_UNITY_Q,Why is cooperation important in Bahraini society today?,لماذا يُعدّ التعاون مهماً في المجتمع البحريني اليوم؟
Q6_UNITY_A,It reduces competition,يقلل المنافسة
Q6_UNITY_B,It strengthens community and shared national values,يعزز المجتمع والقيم الوطنية المشتركة
Q6_UNITY_C,It slows development,يُبطئ التطور
Q6_UNITY_D,It is only important in history,إنه مهم في التاريخ فقط
Q6_UNITY_EXPLAIN,Unity supports community strength and shared progress.,تدعم الوحدة قوة المجتمع والتقدم المشترك.
PORT,Port,ميناء
LANDMARK,Landmark,معلم
LANG_SELECT_TITLE,Akhtaam Dilmun | أختام دلمون,أختام دلمون | Akhtaam Dilmun
BTN_ENGLISH,English,English
BTN_ARABIC,العربية,العربية
